Order_ID,Delivery_Time_Minutes,Delivery_Status
100730,39,Delivered
100731,53,Delivered
100735,37,Delivered
100739,43,Delivered
100741,32,Delivered
100742,42,Delivered
100743,50,Delivered
100745,58,Delivered
100747,59,Delivered
100748,39,Delivered
100750,37,Delivered
100752,31,Delivered
100753,40,Delivered
100755,41,Delivered
100756,38,Delivered
100757,33,Delivered
100758,48,Delivered
100763,46,Late
100765,34,Delivered
100766,62,Late
100767,60,Delivered
100770,61,Delivered
100772,45,Delivered
100773,42,Cancelled
100775,57,Delivered
100776,36,Delivered
100780,57,Delivered
100781,56,Delivered
100782,62,Late
100783,25,Delivered
100790,31,Delivered
100795,37,Delivered
100796,42,Delivered
100798,48,Delivered
100800,39,Delivered
100801,63,Delivered
100803,64,Delivered
100805,53,Delivered
100806,48,Delivered
100807,58,Delivered
100808,46,Delivered
100812,30,Delivered
100813,52,Delivered
100814,30,Late
100816,51,Delivered
100818,61,Delivered
100819,45,Late
100822,30,Delivered
100828,26,Delivered
100829,31,Late
100833,43,Delivered
100834,64,Delivered
100836,54,Delivered
100838,31,Delivered
100840,44,Delivered
100844,48,Delivered
100845,41,Delivered
100846,48,Delivered
100847,37,Delivered
100850,27,Delivered
100851,65,Delivered
100853,44,Delivered
100854,26,Delivered
100856,37,Delivered
100857,34,Delivered
100859,54,Delivered
100862,53,Delivered
100863,60,Delivered
100864,58,Delivered
100866,27,Delivered
100868,63,Delivered
100869,25,Delivered
100870,48,Delivered
100874,60,Delivered
100879,42,Delivered
100880,46,Delivered
100884,64,Delivered
100885,38,Delivered
100889,65,Delivered
100890,50,Delivered
100893,33,Delivered
100896,25,Delivered
100900,59,Delivered
100905,59,Delivered
100909,34,Late
100910,64,Delivered
100913,47,Delivered
100914,36,Delivered
100915,63,Delivered
100918,60,Delivered
100920,60,Delivered
100922,30,Delivered
100925,47,Delivered
100928,54,Delivered
100929,45,Delivered
100930,60,Delivered
100932,40,Delivered
100934,55,Late
100935,61,Delivered
100938,60,Cancelled
100939,61,Delivered
100940,49,Delivered
100946,38,Delivered
100947,30,Late
100949,46,Delivered
100950,54,Late
100952,27,Delivered
100954,51,Delivered
100957,63,Delivered
100958,44,Delivered
100960,36,Delivered
100962,63,Delivered
100964,52,Delivered
100965,50,Delivered
100966,39,Delivered
100967,48,Delivered
100969,56,Delivered
100971,56,Delivered
100972,48,Delivered
100975,43,Delivered
100977,60,Delivered
100978,58,Delivered
100979,64,Cancelled
100980,31,Cancelled
100981,36,Delivered
100982,51,Delivered
100983,28,Delivered
100986,44,Delivered
100987,40,Delivered
100988,53,Delivered
100990,29,Delivered
100994,53,Delivered
100995,56,Delivered
100997,48,Delivered
100998,37,Delivered
100999,26,Delivered
101000,33,Delivered
101010,41,Delivered
101012,42,Late
101014,31,Delivered
101015,52,Delivered
101016,52,Delivered
101017,48,Delivered
101018,54,Delivered
101020,55,Delivered
101023,46,Delivered
101026,34,Delivered
101027,26,Delivered
101032,48,Delivered
101036,52,Delivered
101038,28,Delivered
101039,42,Delivered
101042,34,Delivered
101043,27,Delivered
101046,62,Delivered
101048,53,Delivered
101051,52,Cancelled
101052,32,Delivered
101053,39,Delivered
101055,49,Delivered
101057,51,Late
101061,47,Delivered
101064,57,Delivered
101065,52,Delivered
101066,42,Delivered
101067,33,Delivered
101072,56,Delivered
101076,28,Delivered
101077,27,Delivered
101078,48,Late
101083,37,Delivered
101084,30,Delivered
101086,38,Delivered
101087,51,Late
101088,52,Late
101089,64,Late
101090,56,Delivered
101092,54,Cancelled
101096,45,Delivered
101098,57,Delivered
101099,62,Delivered
101101,37,Delivered
101102,53,Delivered
101105,32,Delivered
101106,31,Delivered
101107,61,Delivered
101110,28,Delivered
101111,61,Delivered
101112,48,Delivered
101114,26,Delivered
101116,48,Delivered
101123,53,Delivered
101124,45,Delivered
101125,32,Delivered
101127,52,Delivered
101128,41,Delivered
101129,42,Late
101132,40,Delivered
101133,39,Late
101134,58,Delivered
101135,29,Delivered
101136,34,Cancelled
101138,25,Delivered
101139,43,Delivered
101140,52,Delivered
101143,49,Delivered
101144,62,Delivered
101146,47,Delivered
101147,50,Delivered
101148,44,Delivered
101149,29,Delivered
101150,43,Delivered
101152,31,Delivered
101153,35,Delivered
101154,64,Delivered
101156,30,Delivered
101159,40,Delivered
101164,65,Delivered
101165,64,Delivered
101166,45,Delivered
101167,44,Delivered
101170,40,Delivered
101171,29,Delivered
101172,45,Late
101175,58,Delivered
101176,50,Delivered
101178,36,Delivered
101180,43,Delivered
101181,49,Delivered
101182,57,Delivered
101183,59,Delivered
101186,36,Delivered
101189,36,Delivered
101190,30,Delivered
101191,32,Delivered
101193,43,Delivered
101198,26,Delivered
101202,62,Delivered
101207,47,Delivered
101208,52,Delivered
101211,47,Delivered
101213,27,Delivered
101214,28,Delivered
101215,53,Delivered
101217,64,Delivered
101219,40,Delivered
101221,41,Delivered
101222,31,Delivered
101223,63,Delivered
101224,56,Delivered
101225,34,Delivered
101226,55,Delivered
101227,35,Delivered
101228,39,Delivered
101230,28,Delivered
101231,60,Delivered
101235,41,Delivered
101239,36,Delivered
101240,29,Delivered
101241,30,Delivered
101242,46,Delivered
101243,48,Delivered
101245,55,Delivered
101246,39,Delivered
101249,38,Delivered
101252,52,Delivered
101253,38,Delivered
101256,54,Delivered
101258,57,Delivered
101262,34,Delivered
101263,54,Delivered
101264,59,Delivered
101267,43,Delivered
101269,26,Delivered
101272,53,Delivered
101273,62,Delivered
101275,26,Delivered
101277,49,Delivered
101280,27,Delivered
101282,55,Delivered
101286,48,Delivered
101287,38,Delivered
101288,46,Delivered
101289,29,Delivered
101290,51,Delivered
101291,39,Delivered
101293,60,Delivered
101294,42,Delivered
101297,29,Delivered
101302,43,Delivered
101303,36,Delivered
101304,50,Delivered
101306,39,Delivered
101313,40,Delivered
101314,33,Delivered
101315,55,Late
101318,52,Delivered
101320,40,Delivered
101322,43,Delivered
101323,56,Delivered
101329,29,Delivered
101334,55,Late
101336,57,Delivered
101338,46,Delivered
101339,63,Delivered
101340,27,Delivered
101342,25,Delivered
101345,25,Delivered
101346,32,Delivered
101349,62,Delivered
101350,29,Delivered
101354,63,Delivered
101356,36,Delivered
101358,52,Delivered
101363,38,Delivered
101364,40,Delivered
101366,60,Late
101369,51,Delivered
101370,64,Delivered
101371,44,Delivered
101373,35,Delivered
101376,56,Late
101377,65,Delivered
101379,47,Delivered
101380,65,Delivered
101381,32,Delivered
101383,26,Late
101384,48,Delivered
101385,58,Delivered
101386,42,Late
101387,58,Delivered
101391,25,Delivered
101393,30,Delivered
101398,58,Delivered
101399,33,Delivered
101401,58,Delivered
101404,44,Delivered
101406,51,Delivered
101408,50,Delivered
101409,65,Delivered
101410,49,Delivered
101411,62,Delivered
101412,50,Delivered
101414,43,Delivered
101415,33,Delivered
101417,40,Delivered
101418,32,Delivered
101419,48,Delivered
101420,31,Delivered
101421,52,Delivered
101422,37,Delivered
101423,35,Delivered
101425,29,Delivered
101428,30,Delivered
101430,37,Delivered
101431,50,Delivered
101433,48,Delivered
101434,65,Delivered
101435,53,Late
101437,35,Delivered
101438,43,Delivered
101441,32,Delivered
101442,64,Delivered
101445,50,Delivered
101446,26,Late
101447,48,Delivered
101448,63,Delivered
101450,45,Delivered
101451,37,Delivered
101453,40,Delivered
101455,41,Late
101457,29,Delivered
101459,31,Delivered
101462,61,Delivered
101466,46,Delivered
101467,37,Delivered
101468,54,Delivered
101469,46,Delivered
101472,27,Delivered
101474,59,Delivered
101477,29,Delivered
101479,47,Delivered
101483,42,Delivered
101486,57,Delivered
101488,37,Delivered
101490,44,Delivered
101493,45,Delivered
101494,48,Delivered
101495,32,Delivered
101499,36,Delivered
101500,35,Delivered
101501,44,Delivered
101504,44,Delivered
101505,49,Delivered
101508,35,Delivered
101512,58,Delivered
101515,32,Delivered
101521,59,Late
101525,54,Delivered
101526,25,Delivered
101534,49,Delivered
101535,42,Delivered
101537,32,Delivered
101538,63,Delivered
101539,54,Delivered
101540,27,Delivered
101543,32,Delivered
101544,34,Cancelled
101545,62,Delivered
101546,51,Delivered
101547,64,Delivered
101548,44,Delivered
101549,59,Delivered
101553,26,Delivered
101554,32,Delivered
101558,32,Delivered
101559,48,Delivered
101561,52,Delivered
101562,28,Delivered
101564,48,Delivered
101565,45,Delivered
101568,26,Delivered
101569,39,Delivered
101571,55,Late
101572,55,Delivered
101575,38,Delivered
101576,60,Delivered
101578,32,Delivered
101582,65,Delivered
101584,61,Late
101586,27,Delivered
101587,26,Late
101588,62,Delivered
101591,49,Delivered
101593,56,Late
101595,46,Delivered
101596,40,Delivered
101597,53,Late
101598,33,Delivered
101604,51,Delivered
101605,30,Delivered
101609,49,Late
101611,61,Late
101612,47,Delivered
101614,58,Delivered
101617,29,Delivered
101620,26,Late
101622,28,Delivered
101625,64,Delivered
101626,51,Delivered
101628,58,Delivered
101630,45,Delivered
101633,27,Delivered
101636,65,Delivered
101637,65,Delivered
101638,27,Delivered
101641,53,Delivered
101643,41,Delivered
101647,51,Late
101648,29,Delivered
101651,46,Delivered
101654,35,Delivered
101656,43,Cancelled
101658,35,Delivered
101661,43,Delivered
101662,39,Delivered
101664,57,Delivered
101665,51,Delivered
101667,33,Delivered
101668,51,Delivered
101670,43,Delivered
101672,38,Delivered
101673,43,Delivered
101674,59,Delivered
101676,33,Delivered
101678,54,Late
101683,59,Delivered
101685,41,Delivered
101686,52,Delivered
101691,38,Delivered
101692,53,Delivered
101693,32,Delivered
101699,46,Delivered
101700,31,Delivered
101703,30,Delivered
101710,55,Delivered
101713,39,Delivered
101715,43,Delivered
101716,59,Delivered
101718,39,Late
101719,52,Delivered
101721,53,Delivered
101725,26,Delivered
101726,42,Delivered
101727,27,Late
101728,54,Delivered
101730,50,Delivered
101731,48,Delivered
101734,58,Delivered
101736,62,Delivered
101739,48,Delivered
101741,55,Delivered
101742,28,Delivered
101744,39,Delivered
101748,56,Delivered
101750,40,Delivered
101751,27,Delivered
101753,42,Delivered
101754,37,Delivered
101755,41,Late
101756,38,Delivered
101760,51,Delivered
101763,44,Delivered
101767,44,Delivered
101771,55,Late
101777,38,Delivered
101778,47,Delivered
101779,60,Delivered
101780,49,Delivered
101781,27,Delivered
101782,59,Delivered
101783,26,Cancelled
101785,48,Delivered
101786,30,Delivered
101789,28,Late
101790,44,Delivered
101791,26,Delivered
101794,29,Delivered
101797,43,Delivered
101798,38,Delivered
101801,41,Delivered
101803,62,Delivered
101804,36,Cancelled
101808,39,Delivered
101811,51,Delivered
101814,30,Late
101818,46,Delivered
101820,48,Delivered
101821,51,Late
101823,48,Delivered
101824,52,Delivered
101828,50,Delivered
101831,64,Delivered
101832,50,Delivered
101834,49,Delivered
101835,26,Delivered
101836,51,Delivered
101839,47,Delivered
101840,37,Delivered
101841,34,Delivered
101842,31,Late
101843,64,Delivered
101846,27,Delivered
101851,62,Delivered
101852,65,Delivered
101853,41,Delivered
101854,32,Delivered
101856,62,Delivered
101858,36,Delivered
101859,39,Delivered
101861,37,Delivered
101866,64,Delivered
101867,39,Delivered
101869,60,Delivered
101871,42,Delivered
101872,52,Delivered
101875,45,Late
101879,56,Delivered
101880,39,Cancelled
101881,37,Delivered
101883,36,Delivered
101885,53,Late
101886,64,Late
101887,26,Delivered
101889,51,Delivered
101890,62,Delivered
101891,30,Delivered
101893,27,Late
101894,38,Delivered
101895,64,Late
101896,34,Delivered
101897,35,Delivered
101898,58,Delivered
101902,28,Delivered
101903,54,Late
101905,41,Delivered
101906,61,Delivered
101908,26,Delivered
101911,54,Delivered
101914,60,Delivered
101918,39,Cancelled
101919,58,Delivered
101921,27,Delivered
101926,28,Delivered
101928,51,Delivered
101931,26,Delivered
101932,63,Delivered
101933,42,Delivered
101935,28,Late
101937,34,Delivered
101941,52,Delivered
101944,31,Delivered
101945,38,Delivered
101946,35,Delivered
101949,28,Delivered
101950,49,Delivered
101951,26,Delivered
101953,48,Delivered
101954,37,Delivered
101955,46,Cancelled
101956,41,Delivered
101958,56,Delivered
101961,36,Delivered
101970,38,Delivered
101971,54,Delivered
101974,31,Delivered
101976,33,Delivered
101977,35,Delivered
101985,45,Delivered
101986,49,Delivered
101987,31,Delivered
101989,38,Delivered
101991,40,Delivered
101993,31,Delivered
101994,62,Delivered
101996,46,Delivered
102001,53,Delivered
102003,45,Delivered
102005,52,Late
102006,44,Delivered
102008,38,Delivered
102010,37,Delivered
102011,59,Delivered
102013,33,Late
102014,33,Delivered
102015,41,Delivered
102016,62,Delivered
102017,47,Delivered
102018,25,Delivered
102019,64,Delivered
102020,49,Delivered
102021,46,Delivered
102022,35,Delivered
102026,58,Delivered
102030,30,Delivered
102032,54,Delivered
102036,60,Delivered
102040,30,Delivered
102041,63,Delivered
102042,49,Delivered
102043,27,Delivered
102044,45,Delivered
102045,48,Late
102047,39,Delivered
102048,60,Delivered
102049,50,Delivered
102050,54,Delivered
102051,46,Delivered
102054,29,Delivered
102056,55,Delivered
102057,61,Delivered
102058,33,Delivered
102060,46,Late
102067,61,Delivered
102072,55,Delivered
102074,34,Delivered
102076,28,Delivered
102082,25,Late
102086,25,Delivered
102089,34,Delivered
102092,54,Delivered
102097,48,Delivered
102098,64,Delivered
102099,44,Delivered
102101,55,Delivered
102102,48,Delivered
102103,44,Delivered
102104,41,Delivered
102109,32,Delivered
102111,40,Delivered
102117,60,Delivered
102118,25,Delivered
102120,27,Late
102130,49,Late
102133,52,Delivered
102134,56,Delivered
102136,59,Delivered
102138,59,Delivered
102140,65,Delivered
102143,44,Delivered
102145,59,Delivered
102147,57,Delivered
102153,30,Delivered
102161,63,Delivered
102163,32,Delivered
102164,27,Delivered
102167,31,Delivered
102169,63,Late
102170,63,Delivered
102173,50,Delivered
102174,46,Delivered
102177,44,Delivered
102178,54,Delivered
102181,48,Delivered
102182,37,Delivered
102184,38,Late
102185,62,Delivered
102188,28,Delivered
102189,44,Delivered
102190,31,Delivered
102193,47,Delivered
102194,28,Delivered
102195,40,Delivered
102196,42,Delivered
102199,33,Delivered
102202,35,Delivered
102203,34,Delivered
102206,61,Delivered
102207,64,Delivered
102213,26,Delivered
102214,63,Delivered
102215,44,Delivered
102220,46,Delivered
102223,58,Late
102224,60,Delivered
102229,44,Delivered
102238,25,Cancelled
102240,47,Delivered
102241,59,Delivered
102243,29,Delivered
102244,65,Delivered
102245,49,Delivered
102247,31,Delivered
102251,65,Delivered
102253,63,Delivered
102257,62,Delivered
102258,50,Delivered
102260,32,Delivered
102261,35,Delivered
102262,33,Delivered
102263,31,Late
102266,65,Cancelled
102267,41,Delivered
102268,34,Delivered
102270,32,Delivered
102271,38,Late
102272,36,Delivered
102273,38,Delivered
102274,44,Delivered
102276,47,Delivered
102279,51,Delivered
102280,64,Delivered
102283,58,Cancelled
102284,39,Delivered
102285,54,Delivered
102286,31,Delivered
102287,44,Late
102289,55,Delivered
102290,34,Late
102292,38,Delivered
102293,30,Late
102295,43,Delivered
102296,51,Delivered
102300,61,Delivered
102301,65,Delivered
102302,28,Delivered
102304,37,Delivered
102309,34,Delivered
102310,55,Delivered
102314,63,Delivered
102315,30,Late
102316,37,Delivered
102318,45,Delivered
102319,41,Delivered
102321,49,Delivered
102325,29,Cancelled
102327,26,Delivered
102328,37,Delivered
102329,30,Delivered
102333,28,Delivered
102335,44,Delivered
102339,56,Delivered
102340,27,Delivered
102341,39,Delivered
102342,60,Delivered
102343,38,Delivered
102347,59,Delivered
102349,35,Delivered
102350,49,Late
102351,32,Delivered
102353,50,Delivered
102355,29,Delivered
102356,35,Delivered
102358,40,Delivered
102359,51,Delivered
102362,59,Delivered
102363,43,Delivered
102364,37,Delivered
102365,47,Delivered
102366,33,Delivered
102367,37,Delivered
102371,39,Delivered
102372,53,Delivered
102373,41,Delivered
102375,37,Delivered
102376,44,Delivered
102382,36,Delivered
102393,35,Delivered
102394,26,Delivered
102397,47,Delivered
102398,46,Delivered
102399,57,Delivered
102400,59,Delivered
102402,28,Delivered
102403,32,Delivered
102404,30,Delivered
102406,60,Delivered
102407,31,Delivered
102408,28,Delivered
102410,32,Delivered
102411,34,Delivered
102413,63,Late
102415,52,Delivered
102416,41,Delivered
102418,61,Delivered
102420,33,Late
102421,51,Delivered
102422,40,Delivered
102424,49,Delivered
102425,31,Delivered
102427,42,Delivered
102429,49,Late
102431,27,Delivered
102434,64,Cancelled
102435,62,Late
102439,65,Delivered
102442,43,Delivered
102449,30,Delivered
102453,65,Delivered
102456,33,Delivered
102457,61,Delivered
102459,25,Delivered
102460,52,Delivered
102461,31,Late
102462,58,Delivered
102463,65,Delivered
102465,52,Delivered
102466,61,Delivered
102467,50,Cancelled
102468,45,Delivered
102469,27,Delivered
102473,61,Delivered
102474,65,Delivered
102479,58,Delivered
102481,39,Delivered
102482,61,Delivered
102486,57,Delivered
102488,35,Delivered
102489,34,Delivered
102493,46,Cancelled
102494,38,Cancelled
102496,27,Delivered
102497,63,Delivered
102498,62,Delivered
102500,59,Late
102505,42,Delivered
102507,43,Delivered
102509,58,Delivered
102510,62,Late
102511,49,Delivered
102512,47,Delivered
102514,56,Delivered
102515,33,Delivered
102516,28,Delivered
102517,40,Delivered
102518,51,Delivered
102519,34,Cancelled
102522,32,Delivered
102525,58,Late
102526,42,Delivered
102527,60,Late
102528,32,Delivered
102531,62,Delivered
102532,57,Delivered
102534,41,Delivered
102535,34,Delivered
102536,50,Delivered
102538,62,Delivered
102539,53,Delivered
102540,29,Delivered
102544,30,Delivered
102545,45,Delivered
102547,47,Delivered
102548,30,Delivered
102549,46,Delivered
102551,41,Delivered
102552,64,Cancelled
102553,30,Delivered
102554,38,Late
102555,37,Delivered
102556,25,Delivered
102559,61,Delivered
102560,31,Delivered
102561,27,Delivered
102562,30,Delivered
102563,43,Delivered
102566,31,Delivered
102570,34,Cancelled
102573,55,Delivered
102575,55,Delivered
102576,62,Delivered
102577,47,Delivered
102580,31,Delivered
102582,49,Delivered
102583,45,Delivered
102584,57,Delivered
102585,40,Delivered
102589,57,Delivered
102590,37,Delivered
102594,28,Delivered
102595,52,Delivered
102597,33,Delivered
102598,41,Delivered
102599,56,Delivered
102603,27,Delivered
102604,56,Delivered
102605,25,Delivered
102606,55,Delivered
102607,46,Delivered
102609,26,Delivered
102616,58,Late
102617,51,Late
102633,39,Delivered
102634,38,Delivered
102635,40,Delivered
102637,62,Delivered
102639,49,Delivered
102640,28,Delivered
102644,63,Delivered
102645,27,Delivered
102649,59,Delivered
102650,27,Delivered
102651,35,Delivered
102652,37,Delivered
102653,35,Delivered
102655,56,Delivered
102659,53,Delivered
102660,47,Delivered
102663,50,Delivered
102664,53,Cancelled
102669,39,Late
102671,64,Delivered
102674,37,Delivered
102675,28,Delivered
102676,29,Delivered
102678,57,Delivered
102679,28,Delivered
102680,44,Delivered
102682,44,Delivered
102683,52,Delivered
102684,56,Delivered
102685,61,Delivered
102689,62,Late
102695,64,Delivered
102696,47,Delivered
102697,64,Delivered
102699,25,Late
102700,33,Delivered
102701,32,Delivered
102702,52,Delivered
102703,43,Late
102704,26,Delivered
102705,32,Delivered
102709,26,Delivered
102710,44,Delivered
102711,38,Delivered
102712,50,Delivered
102713,59,Delivered
102714,29,Delivered
102715,60,Delivered
102717,41,Delivered
102719,64,Delivered
102720,58,Delivered
102721,32,Delivered
102722,45,Delivered
102723,41,Delivered
102724,62,Delivered
102727,44,Delivered
102728,38,Delivered
102729,54,Delivered
102731,51,Delivered
102732,51,Delivered
102734,29,Late
102735,59,Delivered
102736,50,Late
102740,47,Delivered
102741,63,Delivered
102744,38,Delivered
102748,31,Delivered
102751,61,Delivered
102752,60,Delivered
102754,36,Delivered
102756,51,Delivered
102757,48,Delivered
102758,40,Delivered
102761,43,Delivered
102763,56,Delivered
102764,25,Delivered
102767,49,Late
102776,49,Delivered
102778,51,Delivered
102779,38,Delivered
102780,45,Delivered
102781,51,Delivered
102785,57,Delivered
102787,40,Delivered
102788,30,Delivered
102789,64,Delivered
102793,35,Delivered
102796,63,Delivered
102797,35,Delivered
102798,30,Cancelled
102799,26,Delivered
102803,52,Delivered
102804,65,Delivered
102805,48,Delivered
102811,35,Delivered
102812,56,Delivered
102813,65,Delivered
102816,46,Delivered
102817,40,Delivered
102818,42,Late
102820,55,Delivered
102822,54,Delivered
102823,53,Delivered
102825,65,Delivered
102826,40,Delivered
102828,62,Delivered
102829,61,Delivered
102832,36,Delivered
102833,48,Delivered
102834,44,Delivered
102835,45,Delivered
102836,43,Delivered
102839,26,Delivered
102841,53,Delivered
102846,36,Delivered
102847,36,Delivered
102850,42,Delivered
